	Casablanca	CityofGod	FightClub	ForrestGump	Gladiator	Goodfellas	Inception	Interstellar	LifeisBeautiful	PulpFiction	SavingPrivateRyan	Schindler'sList	Se7en	SpiritedAway	StarWars:EpisodeV-TheEmpireStrikesBack	TheDarkKnight	TheGodfather	TheGreenMile	TheLordoftheRings:TheFellowshipoftheRing	TheLordoftheRings:TheReturnoftheKing	TheMatrix	ThePianist	TheShawshankRedemption	TheSilenceoftheLambs	TheUsualSuspects
Casablanca	0	10	8	8	6	8	8	8	10	8	8	8	8	10	8	8	8	8	10	10	8	8	8	8	6	
CityofGod	10	0	10	10	10	10	10	8	8	8	8	10	8	8	10	10	8	8	10	10	10	8	10	8	10	
FightClub	8	10	0	6	8	8	6	8	10	8	8	8	8	10	8	8	8	6	8	10	6	10	6	8	8	
ForrestGump	8	10	6	0	8	8	6	8	10	6	8	8	8	10	8	8	8	8	8	10	8	10	6	8	8	
Gladiator	6	10	8	8	0	8	8	8	10	8	8	8	8	10	8	8	8	8	10	10	8	8	8	8	6	
Goodfellas	8	10	8	8	8	0	8	8	10	8	8	8	8	10	6	8	8	8	10	10	6	10	8	8	8	
Inception	8	10	6	6	8	8	0	8	10	8	8	8	8	10	8	8	8	8	8	10	8	10	8	8	8	
Interstellar	8	8	8	8	8	8	8	0	8	8	6	8	6	8	8	8	8	6	10	10	8	10	8	6	8	
LifeisBeautiful	10	8	10	10	10	10	10	8	0	10	8	10	8	8	10	10	10	8	10	10	10	10	10	8	10	
PulpFiction	8	8	8	6	8	8	8	8	10	0	8	6	8	10	8	8	6	8	10	8	8	10	6	8	8	
SavingPrivateRyan	8	8	8	8	8	8	8	6	8	8	0	8	6	8	8	8	8	6	10	10	8	10	8	6	8	
Schindler'sList	8	10	8	8	8	8	8	8	10	6	8	0	8	10	8	8	8	8	10	8	8	10	8	8	8	
Se7en	8	8	8	8	8	8	8	6	8	8	6	8	0	8	8	8	8	6	10	10	8	10	8	6	6	
SpiritedAway	10	8	10	10	10	10	10	8	8	10	8	10	8	0	10	10	10	8	8	10	10	10	10	8	10	
StarWars:EpisodeV-TheEmpireStrikesBack	8	10	8	8	8	6	8	8	10	8	8	8	8	10	0	8	8	8	10	10	6	10	8	8	8	
TheDarkKnight	8	10	8	8	8	8	8	8	10	8	8	8	8	10	8	0	8	8	10	10	8	10	8	8	8	
TheGodfather	8	8	8	8	8	8	8	8	10	6	8	8	8	10	8	8	0	8	10	10	8	10	8	8	8	
TheGreenMile	8	8	6	8	8	8	8	6	8	8	6	8	6	8	8	8	8	0	10	10	6	10	8	6	8	
TheLordoftheRings:TheFellowshipoftheRing	10	10	8	8	10	10	8	10	10	10	10	10	10	8	10	10	10	10	0	6	10	10	10	10	10	
TheLordoftheRings:TheReturnoftheKing	10	10	10	10	10	10	10	10	10	8	10	8	10	10	10	10	10	10	6	0	10	10	10	10	10	
TheMatrix	8	10	6	8	8	6	8	8	10	8	8	8	8	10	6	8	8	6	10	10	0	10	8	8	8	
ThePianist	8	8	10	10	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	10	10	8	
TheShawshankRedemption	8	10	6	6	8	8	8	8	10	6	8	8	8	10	8	8	8	8	10	10	8	10	0	8	8	
TheSilenceoftheLambs	8	8	8	8	8	8	8	6	8	8	6	8	6	8	8	8	8	6	10	10	8	10	8	0	8	
TheUsualSuspects	6	10	8	8	6	8	8	8	10	8	8	8	6	10	8	8	8	8	10	10	8	8	8	8	0	
